OECD        	OECDF.                    
CNT         	$CNTF.                    
COUNTRY     	$CountryF.                
SUBNATIO    	$SUBNATIOF.               
ST01Q01     	ST01Q01F.                 
ST02Q01     	ST02Q01F.                 
ST03Q02     	$ST03Q0203F.              
ST03Q03     	$ST03Q0203F.              
ST04Q01     	ST04Q01F.                 
ST05Q01     	$ST583F.               
ST06Q01     	ST06Q01F.                 
ST07Q01     	ST07F.             
ST07Q02     	ST07F.             
ST07Q03     	ST07F.             
ST08Q01     	$ST583F.               
ST09Q01     	ST09Q01F.                 
ST10Q01     	ST10F.            
ST10Q02     	ST10F.            
ST10Q03     	ST10F.            
ST11Q01     	ST11F.             
ST11Q02     	ST11F.             
ST11Q03     	ST11F.             
ST11Q04     	ST11Q04F.                 
ST12Q01     	ST12Q01F.                 
ST13Q01     	ST13F.                    
ST13Q02     	ST13F.                    
ST13Q03     	ST13F.                    
ST13Q04     	ST13F.                    
ST13Q05     	ST13F.                    
ST13Q06     	ST13F.                    
ST13Q07     	ST13F.                    
ST13Q08     	ST13F.                    
ST13Q09     	ST13F.                    
ST13Q10     	ST13F.                    
ST13Q11     	ST13F.                    
ST13Q12     	ST13F.                    
ST13Q13     	ST13F.                    
ST13Q14     	ST13F.                    
ST13Q15     	$ST13Q15F.                
ST13Q16     	$ST13Q16F.                
ST13Q17     	$ST13Q17F.                
ST14Q01     	ST14F.           
ST14Q02     	ST14F.           
ST14Q03     	ST14F.           
ST14Q04     	ST14F.           
ST15Q01     	ST15Q01F.                 
ST16Q01     	ST16F.                    
ST16Q02     	ST16F.                    
ST16Q03     	ST16F.                    
ST16Q04     	ST16F.                    
ST16Q05     	ST16F.                    
ST17Q01     	ST17F.                    
ST17Q02     	ST17F.                    
ST17Q03     	ST17F.                    
ST17Q04     	ST17F.                    
ST17Q05     	ST17F.                    
ST17Q06     	ST17F.                    
ST17Q07     	ST17F.                    
ST17Q08     	ST17F.                    
ST18Q01     	ST18F.                    
ST18Q02     	ST18F.                    
ST18Q03     	ST18F.                    
ST18Q04     	ST18F.                    
ST18Q05     	ST18F.                    
ST18Q06     	ST18F.                    
ST18Q07     	ST18F.                    
ST18Q08     	ST18F.                    
ST18Q09     	ST18F.                    
ST18Q10     	ST18F.                    
ST19Q01     	ST19F.                    
ST19Q02     	ST19F.                    
ST19Q03     	ST19F.                    
ST19Q04     	ST19F.                    
ST19Q05     	ST19F.                    
ST19Q06     	ST19F.                    
ST20QA1     	ST20F.                    
ST20QA2     	ST20F.                    
ST20QA3     	ST20F.                    
ST20QA4     	ST20F.                    
ST20QA5     	ST20F.                    
ST20QA6     	ST20F.                    
ST20QB1     	ST20F.                    
ST20QB2     	ST20F.                    
ST20QB3     	ST20F.                    
ST20QB4     	ST20F.                    
ST20QB5     	ST20F.                    
ST20QB6     	ST20F.                    
ST20QC1     	ST20F.                    
ST20QC2     	ST20F.                    
ST20QC3     	ST20F.                    
ST20QC4     	ST20F.                    
ST20QC5     	ST20F.                    
ST20QC6     	ST20F.                    
ST20QD1     	ST20F.                    
ST20QD2     	ST20F.                    
ST20QD3     	ST20F.                    
ST20QD4     	ST20F.                    
ST20QD5     	ST20F.                    
ST20QD6     	ST20F.                    
ST20QE1     	ST20F.                    
ST20QE2     	ST20F.                    
ST20QE3     	ST20F.                    
ST20QE4     	ST20F.                    
ST20QE5     	ST20F.                    
ST20QE6     	ST20F.                    
ST20QF1     	ST20F.                    
ST20QF2     	ST20F.                    
ST20QF3     	ST20F.                    
ST20QF4     	ST20F.                    
ST20QF5     	ST20F.                    
ST20QF6     	ST20F.                    
ST20QG1     	ST20F.                    
ST20QG2     	ST20F.                    
ST20QG3     	ST20F.                    
ST20QG4     	ST20F.                    
ST20QG5     	ST20F.                    
ST20QG6     	ST20F.                    
ST20QH1     	ST20F.                    
ST20QH2     	ST20F.                    
ST20QH3     	ST20F.                    
ST20QH4     	ST20F.                    
ST20QH5     	ST20F.                    
ST20QH6     	ST20F.                    
ST21Q01     	ST21F.                    
ST21Q02     	ST21F.                    
ST21Q03     	ST21F.                    
ST21Q04     	ST21F.                    
ST21Q05     	ST21F.                    
ST21Q06     	ST21F.                    
ST21Q07     	ST21F.                    
ST21Q08     	ST21F.                    
ST22Q01     	ST22F.                    
ST22Q02     	ST22F.                    
ST22Q03     	ST22F.                    
ST22Q04     	ST22F.                    
ST22Q05     	ST22F.                    
ST23QA1     	ST23F.                    
ST23QA2     	ST23F.                    
ST23QA3     	ST23F.                    
ST23QA4     	ST23F.                    
ST23QA5     	ST23F.                    
ST23QA6     	ST23F.                    
ST23QB1     	ST23F.                    
ST23QB2     	ST23F.                    
ST23QB3     	ST23F.                    
ST23QB4     	ST23F.                    
ST23QB5     	ST23F.                    
ST23QB6     	ST23F.                    
ST23QC1     	ST23F.                    
ST23QC2     	ST23F.                    
ST23QC3     	ST23F.                    
ST23QC4     	ST23F.                    
ST23QC5     	ST23F.                    
ST23QC6     	ST23F.                    
ST23QD1     	ST23F.                    
ST23QD2     	ST23F.                    
ST23QD3     	ST23F.                    
ST23QD4     	ST23F.                    
ST23QD5     	ST23F.                    
ST23QD6     	ST23F.                    
ST23QE1     	ST23F.                    
ST23QE2     	ST23F.                    
ST23QE3     	ST23F.                    
ST23QE4     	ST23F.                    
ST23QE5     	ST23F.                    
ST23QE6     	ST23F.                    
ST23QF1     	ST23F.                    
ST23QF2     	ST23F.                    
ST23QF3     	ST23F.                    
ST23QF4     	ST23F.                    
ST23QF5     	ST23F.                    
ST23QF6     	ST23F.                    
ST24Q01     	ST24F.                    
ST24Q02     	ST24F.                    
ST24Q03     	ST24F.                    
ST24Q04     	ST24F.                    
ST24Q05     	ST24F.                    
ST24Q06     	ST24F.                    
ST25Q01     	ST25F.                    
ST25Q02     	ST25F.                    
ST25Q03     	ST25F.                    
ST25Q04     	ST25F.                    
ST25Q05     	ST25F.                    
ST25Q06     	ST25F.                    
ST26Q01     	ST26F.                    
ST26Q02     	ST26F.                    
ST26Q03     	ST26F.                    
ST26Q04     	ST26F.                    
ST26Q05     	ST26F.                    
ST26Q06     	ST26F.                    
ST26Q07     	ST26F.                    
ST27Q01     	ST27F.                    
ST27Q02     	ST27F.                    
ST27Q03     	ST27F.                    
ST27Q04     	ST27F.                    
ST28Q01     	ST28F.                    
ST28Q02     	ST28F.                    
ST28Q03     	ST28F.                    
ST28Q04     	ST28F.                    
ST29Q01     	ST29F.                    
ST29Q02     	ST29F.                    
ST29Q03     	ST29F.                    
ST29Q04     	ST29F.                    
ST30Q01     	$ST583F.               
ST31Q01     	ST31F.                    
ST31Q02     	ST31F.                    
ST31Q03     	ST31F.                    
ST31Q04     	ST31F.                    
ST31Q05     	ST31F.                    
ST31Q06     	ST31F.                    
ST31Q07     	ST31F.                    
ST31Q08     	ST31F.                    
ST31Q09     	ST31F.                    
ST31Q10     	ST31F.                    
ST31Q11     	ST31F.                    
ST31Q12     	ST31F.                    
ST32Q01     	ST32F.                    
ST32Q02     	ST32F.                    
ST32Q03     	ST32F.                    
ST32Q04     	ST32F.                    
ST32Q05     	ST32F.                    
ST32Q06     	ST32F.                    
ST33Q11     	ST33F.                    
ST33Q12     	ST33F.                    
ST33Q21     	ST33F.                    
ST33Q22     	ST33F.                    
ST33Q31     	ST33F.                    
ST33Q32     	ST33F.                    
ST33Q41     	ST33F.                    
ST33Q42     	ST33F.                    
ST33Q51     	ST33F.                    
ST33Q52     	ST33F.                    
ST33Q61     	ST33F.                    
ST33Q62     	ST33F.                    
ST33Q71     	ST33F.                    
ST33Q72     	ST33F.                    
ST33Q81     	ST33F.                    
ST33Q82     	ST33F.                    
ST34Q01     	ST34F.                    
ST34Q02     	ST34F.                    
ST34Q03     	ST34F.                    
ST34Q04     	ST34F.                    
ST34Q05     	ST34F.                    
ST34Q06     	ST34F.                    
ST34Q07     	ST34F.                    
ST34Q08     	ST34F.                    
ST34Q09     	ST34F.                    
ST34Q10     	ST34F.                    
ST34Q11     	ST34F.                    
ST34Q12     	ST34F.                    
ST34Q13     	ST34F.                    
ST34Q14     	ST34F.                    
ST34Q15     	ST34F.                    
ST34Q16     	ST34F.                    
ST34Q17     	ST34F.                    
ST35Q01     	ST35F.                    
ST35Q02     	ST35F.                    
ST35Q03     	ST35F.                    
ST35Q04     	ST35F.                    
ST35Q05     	ST35F.                    
ST36Q01     	ST36F.                    
ST36Q02     	ST36F.                    
ST36Q03     	ST36F.                    
ST37Q01     	ST37F.                    
ST37Q02     	ST37F.                    
ST37Q03     	ST37F.                    
ST37Q04     	ST37F.                    
ST37Q05     	ST37F.                    
ST37Q06     	ST37F.                    
IC01Q01     	IC01Q01F.                 
IC02Q01     	IC02Q01F.                 
IC03Q01     	IC03F.                    
IC03Q02     	IC03F.                    
IC03Q03     	IC03F.                    
IC04Q01     	IC04F.                    
IC04Q02     	IC04F.                    
IC04Q03     	IC04F.                    
IC04Q04     	IC04F.                    
IC04Q05     	IC04F.                    
IC04Q06     	IC04F.                    
IC04Q07     	IC04F.                    
IC04Q08     	IC04F.                    
IC04Q09     	IC04F.                    
IC04Q10     	IC04F.                    
IC04Q11     	IC04F.                    
IC05Q01     	IC05F.                    
IC05Q02     	IC05F.                    
IC05Q03     	IC05F.                    
IC05Q04     	IC05F.                    
IC05Q05     	IC05F.                    
IC05Q06     	IC05F.                    
IC05Q07     	IC05F.                    
IC05Q08     	IC05F.                    
IC05Q09     	IC05F.                    
IC05Q10     	IC05F.                    
IC05Q11     	IC05F.                    
IC05Q12     	IC05F.                    
IC05Q13     	IC05F.                    
IC05Q14     	IC05F.                    
IC05Q15     	IC05F.                    
IC05Q16     	IC05F.                    
ESCS        	CARINFO.                  
AGE         	AGE.                      
BMMJ        	BMMJ.                     
BFMJ        	BMMJ.                     
BSMJ        	BMMJ.                     
CLCUSE3A    	CLCUSE3AB.                
CLCUSE3B    	CLCUSE3AB.                
DEFFORT     	DEFFORT.                  
COBN_F      	$COBN_M.                  
COBN_M      	$COBN_M.                  
COBN_S      	$COBN_M.                  
PROGN       	$PROGN.                   
FISCED      	MFHISCED.       
HISCED      	MFHISCED.       
HISEI       	BMMJ.                     
MsECATEG    	MSECATEG. 
FsECATEG    	MSECATEG. 
HsECATEG    	MSECATEG. 
IMMIG       	IMMIG.                    
ISCEDD      	ISCEDD.                   
ISCEDL      	ISCEDL.                   
ISCEDO      	ISCEDO.                   
LANGN       	$LANGN.                   
MISCED      	MFHISCED.       
PARED       	PARED.                    
SRC_M       	SRC_MFES.                 
SRC_F       	SRC_MFES.                 
SRC_E       	SRC_MFES.                 
SRC_S       	SRC_MFES.                 
TESTLANG    	TESTLANG.                 
CARINFO     	CARINFO.                  
CARPREP     	CARINFO.                  
CULTPOSS    	CARINFO.                  
ENVAWARE    	CARINFO.                  
ENVOPT      	CARINFO.                  
ENVPERC     	CARINFO.                  
GENSCIE     	CARINFO.                  
HEDRES      	CARINFO.                  
HIGHCONF    	CARINFO.                  
HOMEPOS     	CARINFO.                  
INSTSCIE    	CARINFO.                  
INTCONF     	CARINFO.                  
INTSCIE     	CARINFO.                  
INTUSE      	CARINFO.                  
JOYSCIE     	CARINFO.                  
PERSCIE     	CARINFO.                  
PRGUSE      	CARINFO.                  
RESPDEV     	CARINFO.                  
SCAPPLY     	CARINFO.                  
SCHANDS     	CARINFO.                  
SCIEACT     	CARINFO.                  
SCIEEFF     	CARINFO.                  
SCIEFUT     	CARINFO.                  
SCINTACT    	CARINFO.                  
SCINVEST    	CARINFO.                  
SCSCIE      	CARINFO.                  
WEALTH      	CARINFO.                  
PV1READ     	PVREAD.              
PV2READ     	PVREAD.              
PV3READ     	PVREAD.              
PV4READ     	PVREAD.              
PV5READ     	PVREAD.              
S421Q02     	S421Q02F.                 
S456Q01     	S456Q01F.                 
S456Q02     	S456Q02F.
